FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
None,None,ZHAMCO12,ZHAMCO15,101.60000000000001,21842281,1789827,12D1F,A6B54B76-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO12,ZHAMCO15,VENT,516788.2,170109,POINT (516788.2000000002 170109)
ZARDLY,None,ZARDLY03,ZARDLY09,400,null,7671827,5KGMB,None,LIVE,ZARDLY03,ZARDLY09,None,459068.2657,224270.919,POINT (459068.26570000034 224270.91899999976)
ZSEWRD,None,ZSEWRD18,None,152.4,22076130,1791125,12E1H,D163922C-9356-11D6-9595-0002A54212B3,LIVE,ZSEWRD18,ZSEWRD,VENT,535154,195214.9,POINT (535154 195214.90000000037)
ZENGNE,None,ZENGNE02,None,203.20000000000002,16309429,1789389,12CP9,4C312EA3-934D-11D6-9595-0002A54212B3,LIVE,ZENGNE02,ZENGNE,VENT,446253.60000000003,167516.6,POINT (446253.5999999996 167516.59999999963)
ZNEWXP,None,ZNEWXP04,None,203.20000000000002,22055821,1790723,12DQB,6AFD05CF-9355-11D6-9595-0002A54212B3,LIVE,ZNEWXP,ZNEWXP04,VENT,535756.89673341,176893.19181459,POINT (535756.8967000004 176893.19180000015)
None,None,ZNORWD32,None,101.60000000000001,22060658,1790245,12DD1,AED99199-9353-11D6-9595-0002A54212B3,LIVE,ZNORWD32,ZWKREGCS,VENT,528777,172274.80000000002,POINT (528777 172274.80000000075)
None,None,None,None,600,null,7333284,4D6EC,None,LIVE,TF000104                      ,None,None,442493.30804476,200083.19660055,POINT (442493.3080000002 200083.19659999944)
ZHAM42,None,None,None,1066.8,22198491,1796030,12HTQ,88011892-9353-11D6-9595-0002A54212B3,LIVE,ZHAM42,ZWKREGCS,UNK,526797.7,170011.30000000002,POINT (526797.7000000002 170011.30000000075)
ZKEMPT,None,ZKEMPT08,None,304.8,22049445,1790247,12DD3,DD5026EE-9353-11D6-9595-0002A54212B3,LIVE,ZKEMPT08,None,VENT,520991,182006,POINT (520991 182006)
ZKIDTN,None,None,ZKIDTN01,152.4,16319726,1789060,12CG4,0D604613-9349-11D6-9595-0002A54212B3,LIVE,ZKIDTN,ZKIDTN01,VENT,448405.3,214863.7,POINT (448405.2999999998 214863.69999999925)
ZHODDN,None,ZHODDN01,ZHODDN02,228.6,21846950,1789408,12CPS,72C8DF2C-9351-11D6-9595-0002A54212B3,LIVE,ZHODDN01,ZHODDN02,VENT,536631.2,206501.30000000002,POINT (536631.2000000002 206501.30000000075)
None,None,None,None,null,null,7260935,4CNLN,None,LIVE,ZWKREGCS,None,None,522994.6962,169293.6234,POINT (522994.6962000001 169293.62340000086)
ZCHESS,None,ZCHESS09,None,304.8,21875316,1789744,12CZ4,5BD6C28C-9352-11D6-9595-0002A54212B3,LIVE,ZCHESS09,ZCHESS,VENT,518019.60000000003,164810.9,POINT (518019.5999999996 164810.90000000037)
ZCSTWD,None,ZCSTWD02,None,200,21830097,1791872,12EM8,B548916B-9357-11D6-9595-0002A54212B3,LIVE,ZCSTWD02,ZCSTWD,VENT,544897.7,177457.4,POINT (544897.7000000002 177457.40000000037)
ZNORWD,None,ZNORWD48,None,177.8,22034712,1789998,12D66,C9E5B960-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD48,ZWKREGES,VENT,534086.7,168436.80000000002,POINT (534086.7000000002 168436.80000000075)
ZMILLH,None,None,None,609.6,25150655,1796516,12I78,003CEE6A-9354-11D6-9595-0002A54212B3,LIVE,ZMILLH,ZWKREGCN,IP,523035.7,185879.7,POINT (523035.7000000002 185879.69999999925)
ZHAMCO,None,ZHAMCO08,ZHAMCO09,304.8,21835169,1789525,12CT1,334080D8-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO08,ZHAMCO09,VENT,513440.2,169905.1,POINT (513440.2000000002 169905.09999999963)
ZCHIGW,None,None,ZCHIGW55,228.6,26066088,1791441,12EA9,F3A95CB0-9356-11D6-9595-0002A54212B3,LIVE,ZCHIGW,ZCHIGW55,VENT,539185.5821,190227.0235,POINT (539185.5821000002 190227.0234999992)
ZRUSSH,None,ZRUSSH07,None,100,null,7359381,4ERJ9,None,LIVE,ZRUSSH07,None,VENT,533191.6134,166270.0929,POINT (533191.6134000001 166270.0929000005)
ZCARTN,None,None,ZCARTN06,250,null,7773405,5NM0X,None,LIVE,ZCARTN,ZCARTN06,None,428602.19921164,207415.53669892,POINT (428602.1991999997 207415.53669999912)
ZCHIGW,None,ZCHIGW10,ZCHIGW62,203.20000000000002,21870990,1791161,12E2H,E0D49559-9356-11D6-9595-0002A54212B3,LIVE,ZCHIGW10,ZCHIGW62,VENT,537767.6,193910.30000000002,POINT (537767.5999999996 193910.30000000075)
ZKNOCK,None,ZKNOCK06,None,457.2,22209257,1796050,12HUA,0DECC0AB-9357-11D6-9595-0002A54212B3,LIVE,ZWKREGES,ZKNOCK06,UNK,546694.1521,158422.0797,POINT (546694.1520999996 158422.07970000058)
ZHOPRV,None,ZHOPRV02,ZHOPRV04,304.8,22105775,1790696,12DPK,4FBCC300-9355-11D6-9595-0002A54212B3,LIVE,ZHOPRV02,ZHOPRV04,VENT,533661.6,177248.4,POINT (533661.5999999996 177248.40000000037)
None,None,None,None,457.2,22061303,1790115,12D9F,692DF921-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,None,VENT,529066.6,180350.1,POINT (529066.5999999996 180350.09999999963)
ZWOODF,None,None,None,500,25932270,1796539,12I7V,7B762108-3A36-484B-BE61-8C4EF44D8532,LIVE,ZWOODF,None,UNK,535603.1,190755.1,POINT (535603.0999999996 190755.09999999963)
ZWITNY,None,ZWITNY04,None,304.8,22050432,1789052,12CFW,47EF98AB-9348-11D6-9595-0002A54212B3,LIVE,ZWITNY04,ZWITNY,VENT,433874.4,210409.80000000002,POINT (433874.4000000004 210409.80000000075)
ZPUTNY,None,None,ZPUTNY35,101.60000000000001,22046645,1789587,12CUR,698CCEB8-9353-11D6-9595-0002A54212B3,LIVE,ZPUTNY,ZPUTNY35,VENT,524981.6201,176901.2918,POINT (524981.6201 176901.29179999977)
ZHEADN,None,None,None,304.8,22117025,1796288,12I0W,CD81FE90-9349-11D6-9595-0002A54212B3,LIVE,ZHEADN,TF000016,UNK,450444.3,210068.30000000002,POINT (450444.2999999998 210068.30000000075)
ZHAM30,None,ZHAM3004,None,228.6,25124766,1789973,12D5H,B27AD9DF-0C8B-43E7-853B-AD80A21D260F,LIVE,ZHAM3004,ZHAM30,UNK,518982.50486166,174980.26497008,POINT (518982.50490000006 174980.2650000006)
ZRUSSH,None,ZRUSSH21,ZRUSSH20,100,null,9870463,6WK4J,None,LIVE,ZRUSSH20,ZRUSSH20,FBM,530779.6605,168943.3269,POINT (530779.6605000002 168943.32689999975)
None,None,None,None,null,25839189,1795122,12H4I,9FE057AD-9575-4633-81A3-20E21B269F25,LIVE,RF000004,None,UNK,463510.5,176288,POINT (463510.5 176288)
ZDANCE,None,None,None,300,null,7598092,5JVQ4,None,LIVE,ZDANCE,ZWKREGWE,None,495156.20684468,210791.42581444,POINT (495156.2067999998 210791.4257999994)
ZWOODF,None,ZWOODF129,None,600,null,7829292,5OT4C,None,LIVE,ZWOODF129,ZWOODF,None,537419.45862726,184085.64011747,POINT (537419.4585999995 184085.64010000043)
ZSHEPD,None,None,ZSHEPD09,180,22028103,1789801,12D0P,CED05B23-934F-11D6-9595-0002A54212B3,LIVE,ZSHEPD,ZSHEPD09,VENT,479373,173327.80000000002,POINT (479373 173327.80000000075)
ZMILLH,None,None,None,304.8,25851799,1790092,12D8S,7F1F194E-9354-11D6-9595-0002A54212B3,LIVE,ZMILLH,ZWKREGCN,VENT,522613.4,190509.1,POINT (522613.4000000004 190509.09999999963)
None,None,ZNORWD28,None,100,26303218,1790026,12D6Y,CDC40419-C31F-4EED-A067-CB5F2D8BF895,LIVE,ZNORWD28,ZWKREGCS,UNK,531917,169196.4,POINT (531917 169196.40000000037)
ZEARLB,None,ZEARLB08,ZEARLB09,228.6,16354117,1789925,12D45,A02EE0C9-934F-11D6-9595-0002A54212B3,LIVE,ZEARLB09,ZEARLB09,VENT,475329.9,173472.7,POINT (475329.9000000004 173472.69999999925)
ZBLUNS,None,ZBLUNS13,None,203.20000000000002,25026381,1789338,12CNU,9D809CA3-934B-11D6-9595-0002A54212B3,LIVE,ZBLUNS13,ZBLUNS,VENT,410946.8,183600.80000000002,POINT (410946.7999999998 183600.80000000075)
ZBRETH,None,None,None,610,16331036,1796234,12HZE,4CC7CA3A-9349-11D6-9595-0002A54212B3,LIVE,ZBRETH,TF000018,VENT,445399.10000000003,238661.30000000002,POINT (445399.0999999996 238661.30000000075)
None,None,None,None,600,null,9458734,6NQFM,None,LIVE,ZWKREGCN,None,FBM,528340.4496,179936.9613,POINT (528340.4495999999 179936.96130000055)
ZMILLH,None,ZMILLH,ZMILLH07,250,26145131,1790499,12DK3,31E27F79-38DE-4CF3-A5E0-FDC4E7C5F706,LIVE,ZMILLH07,ZMILLH,UNK,523123.9,186514.7,POINT (523123.9000000004 186514.69999999925)
ZCRYST,None,None,None,457.2,22209591,1795798,12HNA,067F9ADC-9355-11D6-9595-0002A54212B3,LIVE,ZCRYST,ZWKREGCS,UNK,530531.3,174284.80000000002,POINT (530531.2999999998 174284.80000000075)
None,None,ZBARHT45,None,228.6,25003497,1790496,12DK0,003CDA69-9354-11D6-9595-0002A54212B3,LIVE,ZBARHT45,ZWKREGCN,VENT,523051.9,181262,POINT (523051.9000000004 181262)
ZOXLWD,None,None,None,457.2,null,9523919,6O5PB,None,LIVE,ZOXLWD,None,None,551715.29582633,174516.05043574,POINT (551715.2958000004 174516.05040000007)
None,None,ZNORWD17,None,177.8,22034703,1790675,12DOZ,6AFCE866-9355-11D6-9595-0002A54212B3,LIVE,ZNORWD17,ZWKREGES,VENT,535396.8,171505.2,POINT (535396.7999999998 171505.19999999925)
None,None,None,None,300,26418173,1789305,12CMX,004F918A-7777-4C40-B8E5-6CACA847EC1C,LIVE,ZWKREGCN,None,UNK,523503.3,179903.1,POINT (523503.2999999998 179903.09999999963)
ZRIVSE,None,ZRIVSE19,None,457.2,22043739,1791428,12E9W,D4A42B63-9357-11D6-9595-0002A54212B3,LIVE,ZRIVSE19,ZRIVSE,VENT,547265,178880.4,POINT (547265 178880.40000000037)
ZSUR30,None,ZSUR3002,None,150,21896418,1789454,12CR2,9B118B60-9353-11D6-9595-0002A54212B3,LIVE,ZSUR3002,ZSUR30,VENT,527457.7,171468.4,POINT (527457.7000000002 171468.40000000037)
ZSTOW1,None,ZSTOW102,None,150,22177120,1797264,12IS0,BDF8300F-9347-11D6-9595-0002A54212B3,LIVE,ZSTOW102,ZWKREGWE,UNK,415885.3,231899.2,POINT (415885.2999999998 231899.19999999925)
ZABIND,None,ZABIND09,None,355.6,null,9624888,6QBM0,None,LIVE,ZABIND,ZABIND,None,447644.6405,200898.8216,POINT (447644.64049999975 200898.82159999944)
ZBARHT,None,ZBARHT24,None,304.8,22056933,1790502,12DK6,32E46D3A-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,ZBARHT24,VENT,526104.9,180810.5,POINT (526104.9000000004 180810.5)
None,ZHOPRV,None,ZHOPRV04,355,25168265,1795812,12HNO,0BD9CA43-484A-4DAC-98D7-EAF1C90115FE,LIVE,ZWKREGCS,ZHOPRV04,UNK,534230.4,176361.1,POINT (534230.4000000004 176361.09999999963)
ZTILEH,None,ZTILEH21,ZTILEH22,200,16311574,1789276,12CM4,924DF2F1-934E-11D6-9595-0002A54212B3,LIVE,ZTILEH21,ZTILEH22,VENT,464710.9,171259,POINT (464710.9000000004 171259)
ZHOPRV,None,ZHOPRV04,ZHOPRV03,250,26629658,1790764,12DRG,EF8D8D63-3D6D-4F32-B596-8E429C74CED8,LIVE,ZHOPRV04,ZHOPRV03,UNK,533980.1,176712.30000000002,POINT (533980.0999999996 176712.30000000075)
None,None,ZBARHT18,None,304.8,22047730,1790213,12DC5,DD502991-9353-11D6-9595-0002A54212B3,LIVE,ZBARHT18,ZWKREGCN,VENT,520757.7,183921.30000000002,POINT (520757.7000000002 183921.30000000075)
None,None,ZBARHT45,None,228.6,22055738,1790559,12DLR,DD5043AC-9353-11D6-9595-0002A54212B3,LIVE,ZBARHT45,ZWKREGCN,VENT,521567.4,181037.5,POINT (521567.4000000004 181037.5)
ZTILEH,None,ZTILEH13,ZTILEH15,152.4,14259322,1789285,12CMD,7E4D125C-934F-11D6-9595-0002A54212B3,LIVE,ZTILEH15,ZTILEH15,VENT,470639.60000000003,172495.1,POINT (470639.5999999996 172495.09999999963)
None,None,ZNORWD30,None,150,15193078,1790800,12DSG,C9E5BE7C-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD30,ZWKREGES,VENT,534542.3,169080.2,POINT (534542.2999999998 169080.19999999925)
None,None,ZFINSB49,ZFINSB,200,null,9080545,5FNLD,None,LIVE,ZFINSB49,ZFINSB,FBM,537355.41260788,182793.13966951,POINT (537355.4126000004 182793.13969999924)
ZKIDTN,None,None,None,457.2,13838465,1794812,12GVW,0D603DF8-9349-11D6-9595-0002A54212B3,LIVE,ZKIDTN,None,FBM,446750.14397444,214652.55259836,POINT (446750.1440000003 214652.55260000005)
ZHAMCO,None,ZHAMCO27,None,177.8,25116414,1790580,12DMC,35484DFF-56E7-4E5B-AB5B-2005F67223F1,LIVE,ZHAMCO27,ZHAMCO,UNK,522183.7,180068.5,POINT (522183.7000000002 180068.5)
ZENGNE,None,None,None,228.6,14127830,1789177,12CJD,4C312A92-934D-11D6-9595-0002A54212B3,LIVE,ZENGNE,ZWKREGWE,VENT,446766.5,166611,POINT (446766.5 166611)
None,None,ZHAMCO10,ZHAMCO13,300,21835172,1789871,12D2N,895EFB58-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO13,ZHAMCO13,VENT,512356.2,173037.9,POINT (512356.2000000002 173037.90000000037)
None,None,None,None,1066.8,25946557,1793413,12FT1,94AD5322-71F6-40CD-BF6B-B86B266DA5DC,LIVE,ZWKREGCN,None,UNK,513288.5,169510,POINT (513288.5 169510)
None,None,ZNORWD27,None,152.4,22042225,1790175,12DB3,B57216FA-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCS,ZWKREGCS,VENT,532230.4558,168302.22639999999,POINT (532230.4557999996 168302.2263999991)
ZEALNG,None,<Null>,ZEALNG09,150,26158440,1789690,12CXM,77548B76-6F90-4352-90C1-4C211B9B661C,LIVE,ZEALNG,ZEALNG09,UNK,517656.8,179743.30000000002,POINT (517656.7999999998 179743.30000000075)
ZRIVSE,None,ZRIVSE22,ZRIVSE21,300,26628615,1791685,12EH1,E5DA307B-9357-11D6-9595-0002A54212B3,LIVE,ZRIVSE22,ZRIVSE21,VENT,549811.9,179014.7,POINT (549811.9000000004 179014.69999999925)
ZNRTHL,None,ZNRTHL01,None,200,25116718,1792189,12EV1,39C70FB5-9347-11D6-9595-0002A54212B3,LIVE,ZNRTHL01,ZNRTHL,FBM,409597.60000000003,214145,POINT (409597.5999999996 214145)
ZWOODF,None,ZWOODF48,None,228.6,22045772,1791744,12EIO,F60E98A1-9357-11D6-9595-0002A54212B3,LIVE,ZWOODF48,ZWOODF,VENT,540405.4,182315.2,POINT (540405.4000000004 182315.19999999925)
None,None,None,None,600,25838211,1795866,12HP6,65929D37-934E-11D6-9595-0002A54212B3,LIVE,ZWKREGWE,TF000083,VENT,453181.5,196888.6,POINT (453181.5 196888.59999999963)
ZMAIDL,None,None,None,300,null,9650239,6RU67,None,LIVE,ZMAIDL,None,None,529947.76620092,181327.72772272,POINT (529947.7662000004 181327.72770000063)
ZHAM42,None,ZHAM4201,None,177.8,25857641,1789645,12CWD,F2BE6D8C-8222-47E8-AF8E-B0807C0C97FF,LIVE,ZHAM4201,ZHAM42,UNK,520860.7,170060,POINT (520860.7000000002 170060)
ZSTOKE,None,None,None,600,26343647,1794257,12GGH,F18008F0-F64C-4017-B415-4963ECD3AAE5,LIVE,ZSTOKE,TF000041,UNK,491932.3,181029.4,POINT (491932.2999999998 181029.40000000037)
ZHGHBE,None,ZHGHBE05,None,177.8,21832719,1791263,12E5B,3D4FF7C1-9358-11D6-9595-0002A54212B3,LIVE,ZHGHBE05,ZHGHBE,VENT,541869.29930108,196606.27392107,POINT (541869.2993000001 196606.27390000038)
ZPUTNY,None,ZPUTNY20,ZPUTNY22,127,22054630,1790494,12DJY,CBC9359F-9353-11D6-9595-0002A54212B3,LIVE,ZPUTNY20,ZPUTNY22,VENT,529717.7,178890.2,POINT (529717.7000000002 178890.19999999925)
ZGRNHA,None,ZGRNHA01,None,152.4,null,7394673,4EISL,None,LIVE,ZGRNHA01,ZGRNHA,None,482434.2,203527.7,POINT (482434.2000000002 203527.69999999925)
None,None,None,None,762,26227121,1796311,12I1J,D0E59D86-9352-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,None,UNK,518776.3,178009.30000000002,POINT (518776.2999999998 178009.30000000075)
ZSUR30,None,ZSUR3007,None,177.8,22041429,1789209,12CK9,88011B25-9353-11D6-9595-0002A54212B3,LIVE,ZSUR3007,ZSUR30,VENT,526158.3,170117.1,POINT (526158.2999999998 170117.09999999963)
ZBLUNS,None,ZBLUNS05,None,355.6,25050980,1789380,12CP0,131E5CD4-934C-11D6-9595-0002A54212B3,LIVE,ZBLUNS05,ZBLUNS,VENT,416570,186947.5,POINT (416570 186947.5)
ZWOODF,None,ZWOODF46,None,304.8,21832407,1791378,12E8I,834775BB-9356-11D6-9595-0002A54212B3,LIVE,ZWOODF46,ZWOODF,VENT,539156.7,183116.4,POINT (539156.7000000002 183116.40000000037)
ZSTRMR,None,ZSTRMR05,ZSTRMR06,101.60000000000001,25158686,1790060,12D7W,C376AA84-6D76-49E5-8FD5-A089C73AAB1C,LIVE,ZSTRMR05,ZSTRMR06,UNK,529956,174862.30000000002,POINT (529956 174862.30000000075)
ZSHOTV,None,None,None,228.6,21851117,1796279,12I0N,B9643756-9349-11D6-9595-0002A54212B3,LIVE,ZSHOTV,ZWKREGWE,UNK,455855.7,206466.30000000002,POINT (455855.7000000002 206466.30000000075)
None,None,None,None,600,null,8970364,5CALS,None,LIVE,ZENGNE,None,None,444991.4,164208.4,POINT (444991.4000000004 164208.40000000037)
ZCRCHH,None,ZCRCHH71,ZCRCHH17,150,21882828,1791315,12E6R,3A5B29CB-9356-11D6-9595-0002A54212B3,LIVE,ZCRCHH71,ZCRCHH17,VENT,534722.12958196,186627.38287288,POINT (534722.1295999996 186627.38289999962)
ZBIBRY,None,ZBIBRY03,None,300,22114939,1797029,12ILH,39C71900-9347-11D6-9595-0002A54212B3,LIVE,ZBIBRY03,ZBIBRY,FBM,411934.9,207413.2,POINT (411934.9000000004 207413.19999999925)
None,None,None,ZBARHT06,304.8,22047038,1789782,12D06,544C0F8B-9353-11D6-9595-0002A54212B3,LIVE,ZBARHT,ZBARHT06,VENT,522263.6152,179319.6466,POINT (522263.6151999999 179319.64660000056)
ZMAIDL,None,ZMAIDL54,ZMAIDL56,125,null,7392977,4EGGH,None,LIVE,ZMAIDL54,ZMAIDL56,VENT,530773.5627871,184312.76951367,POINT (530773.5628000004 184312.7695000004)
ZBARHT,None,ZBARHT63,None,304.8,26345578,1790230,12DCM,1F74C28E-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,ZBARHT63,VENT,525078.36318025,182053.35734536,POINT (525078.3631999996 182053.35730000027)
ZCAVPV,ZKINGC,ZCAVPV01,ZKINGC01,150,26007847,1795989,12HSL,E02B661A-FB6C-4F08-AC7C-A38A61C12D8D,LIVE,ZCAVPV01,ZKINGC01,UNK,470285.2,176612.5,POINT (470285.2000000002 176612.5)
ZWINDR,None,ZWINDR04,None,101.60000000000001,13795199,1792133,12ETH,0730B72B-9348-11D6-9595-0002A54212B3,LIVE,ZWINDR04,TF000150,OTH,422077.60000000003,225337.80000000002,POINT (422077.5999999996 225337.80000000075)
ZWOODF,None,ZWOODF120,None,150,null,9245974,6I69M,None,LIVE,ZWOODF120,None,None,540403.69045453,180922.83810093,POINT (540403.6904999996 180922.83809999935)
ZTHAME,ZHORSH,ZTHAME02,ZHORSH02,101.60000000000001,21868425,1796370,12I36,4E3E9FDA-934A-11D6-9595-0002A54212B3,LIVE,ZTHAME02,ZHORSH02,VENT,470678.3,206736.30000000002,POINT (470678.2999999998 206736.30000000075)
ZBEPRV,None,ZBEPRV10,ZBEPRV02,304.8,22105568,1790542,12DLA,6228C866-9355-11D6-9595-0002A54212B3,LIVE,ZBEPRV10,ZBEPRV02,VENT,534675.46457622,179516.29754166,POINT (534675.4645999996 179516.2974999994)
None,None,ZBARHT20,None,228.6,22056881,1790480,12DJK,E8AA95FA-9353-11D6-9595-0002A54212B3,LIVE,ZBARHT20,ZWKREGCN,VENT,522971.4,182770.7,POINT (522971.4000000004 182770.69999999925)
None,None,None,None,50.800000000000004,25182635,1795773,12HML,576A5B84-7B35-413C-9213-2E790E719E79,LIVE,ZWKREGWE,None,UNK,436925.9,183904,POINT (436925.9000000004 183904)
ZARDLY,None,ZARDLY04,None,228.6,13921867,1789153,12CIP,CD821713-9349-11D6-9595-0002A54212B3,LIVE,ZARDLY04,ZARDLY,VENT,457216.2,223904.9,POINT (457216.2000000002 223904.90000000037)
ZCHESS,None,ZCHESS08,ZCHESS11,254,16354783,1789394,12CPE,46CCDC49-9352-11D6-9595-0002A54212B3,LIVE,ZCHESS08,ZCHESS11,VENT,515700.5,165154.9,POINT (515700.5 165154.90000000037)
ZUPHIL,None,ZUPHIL02,ZUPHIL03,180,null,8395618,50Y4M,None,DCOM,ZUPHIL02,ZUPHIL03,None,487315.5963,208174.3886,POINT (487315.5963000003 208174.38859999925)
None,None,ZRIVSE04,None,null,null,7377716,4E5PK,None,LIVE,ZRIVSE04,ZWKREGES,None,539257.4447,178160.3402,POINT (539257.4446999999 178160.3401999995)
ZCOCKF,None,ZCOCKF02,None,101.60000000000001,25133760,1791166,12E2M,EA56A3FC-18DE-4B2C-B54D-35C2F5268E02,LIVE,ZCOCKF02,ZCOCKF,UNK,530109.1,193082.7,POINT (530109.0999999996 193082.69999999925)
ZASHDN,ZWINWD,ZASHDN00,ZWINWD06,101.60000000000001,16316607,1796328,12I20,9819481C-934A-11D6-9595-0002A54212B3,LIVE,ZWINWD06,ZWINWD00,VENT,483377.9,209655,POINT (483377.9000000004 209655)
ZSEWRD,None,ZSEWRD27,None,200,25573943,1791154,12E2A,A612DB8C-DE9E-4864-A5F3-4DDF7F7E669A,LIVE,ZSEWRD27,ZSEWRD,UNK,537164.7,198713,POINT (537164.7000000002 198713)
ZWOODF,None,ZWOODF59,None,127,19085012,1791604,12EES,0C6FD3D1-9358-11D6-9595-0002A54212B3,LIVE,ZWOODF59,ZWOODF,VENT,542902.1591,182172.7977,POINT (542902.1590999998 182172.79770000093)
ZMAIDL,None,ZMAIDL45,None,177.8,26436698,1790998,12DXY,C173BD8B-9355-11D6-9595-0002A54212B3,LIVE,ZMAIDL45,ZMAIDL,VENT,530554.7,182727.4,POINT (530554.7000000002 182727.40000000037)
ZCRCHH,None,ZCRCHH12,None,180,null,7378745,4E5H5,None,LIVE,ZCRCHH12,ZCRCHH,None,533522.18936072,188808.14646942,POINT (533522.1893999996 188808.14650000073)
ZCRYSB,ZCRYST,None,ZCRSYB11,300,null,7574299,4ICD7,None,LIVE,ZCRYST,ZCRYST,None,533884.9,171748.2,POINT (533884.9000000004 171748.19999999925)
ZCRCHH,None,ZCRCHH59,None,254,22057690,1797068,12IMK,F14B591F-9355-11D6-9595-0002A54212B3,LIVE,ZCRCHH59,ZCRCHH,VENT,532644.3,181578.8448,POINT (532644.2999999998 181578.84479999915)
ZWANTE,None,ZWANTE01,None,200,22110955,1795775,12HMN,EB1C72BF-934C-11D6-9595-0002A54212B3,LIVE,ZWANTE01,ZWANTE,UNK,439662,186845.7,POINT (439662 186845.69999999925)
ZCHESS,None,ZCHESS02,ZCHESS05,177.8,16348676,1789788,12D0C,5BD6CDE0-9352-11D6-9595-0002A54212B3,LIVE,ZCHESS02,ZCHESS05,VENT,518620.5,167611.4,POINT (518620.5 167611.40000000037)
ZBOARH,None,ZBOARH01,None,228.6,13830194,1796216,12HYW,CE49D277-9348-11D6-9595-0002A54212B3,LIVE,ZBOARH01,ZWKREGWE,VENT,448335.10000000003,202953.5,POINT (448335.0999999996 202953.5)
ZOVPRV,None,ZOVPRV04,ZOVPRV10,177.8,22097361,1790610,12DN6,3D286C79-9355-11D6-9595-0002A54212B3,LIVE,ZOVPRV04,ZOVPRV10,VENT,532492.62772126,178995.784191,POINT (532492.6277000001 178995.78419999965)
ZHGHBE,None,ZHGHBE05,None,304.8,21832718,1791262,12E5A,3D4FF7C0-9358-11D6-9595-0002A54212B3,LIVE,ZHGHBE05,ZHGHBE,VENT,541863.1,196604,POINT (541863.0999999996 196604)
ZHAM42,None,ZHAM4212,ZHAM4213,177.8,22076575,1790594,12DMQ,C16DF673-9353-11D6-9595-0002A54212B3,LIVE,ZHAM4212,ZHAM4213,VENT,529155.1,170912.5,POINT (529155.0999999996 170912.5)
ZBISHW,None,ZBISHW19,None,150,21885089,1790222,12DCE,003CF84C-9354-11D6-9595-0002A54212B3,LIVE,ZBISHW19,ZBISHW,VENT,523849.5,187763.5,POINT (523849.5 187763.5)
ZWIMBC,None,None,ZWIMBC10,127,14762023,1789507,12CSJ,544C168C-9353-11D6-9595-0002A54212B3,LIVE,ZWIMBC,ZWIMBC10,VENT,523517.60000000003,172584.6,POINT (523517.5999999996 172584.59999999963)
None,None,None,None,762,26169637,1796253,12HZX,640628E5-312F-4002-B643-E2CFFB894A26,LIVE,ZWKREGCN,None,FBM,522218.3,178425,POINT (522218.2999999998 178425)
ZSTAMR,None,ZSTAMR01,None,152.4,26176504,1795816,12HNS,A6B8891D-526D-4EBD-9A8E-0F056C2DBF97,LIVE,ZSTAMR01,ZSTAMR,UNK,446979.60000000003,179508.7,POINT (446979.5999999996 179508.69999999925)
ZBRIBE,ZCHINR,ZBRIBE01,ZCHINR03,101.60000000000001,14247246,1795982,12HSE,50E3C718-934F-11D6-9595-0002A54212B3,LIVE,ZCHINR03,ZCHINR03,UNK,468286.4,194779.2,POINT (468286.4000000004 194779.19999999925)
ZMAIDL,None,ZMAIDL01,ZMAIDL02,152.4,16358088,1790818,12DSY,D0CF38ED-9355-11D6-9595-0002A54212B3,LIVE,ZMAIDL01,ZMAIDL02,VENT,530987.5,187161.30000000002,POINT (530987.5 187161.30000000075)
ZTILEH,None,ZTILEH05,None,304.8,16309797,1795971,12HS3,7E4D31BF-934F-11D6-9595-0002A54212B3,LIVE,ZTILEH05,ZTILEH,UNK,471116.0658,173090.9716,POINT (471116.0658 173090.97159999982)
ZWINWD,None,ZWINWD21,None,304.8,26127578,1789105,12CHD,12BE84E8-934B-11D6-9595-0002A54212B3,LIVE,ZWINWD21,ZWINWD,VENT,483997.8,211501.6,POINT (483997.7999999998 211501.59999999963)
ZKIDTN,ZNOKE1,ZKIDTN03,ZNOKE101,152.4,16319867,1796287,12I0V,CD81FFAD-9349-11D6-9595-0002A54212B3,LIVE,ZKIDTN03,ZNOKE101,VENT,450355.60000000003,213639.30000000002,POINT (450355.5999999996 213639.30000000075)
ZPEWLY,None,ZPEWLY03,None,150,26314488,1789750,12CZA,E89393DF-9350-11D6-9595-0002A54212B3,LIVE,ZPEWLY03,ZPEWLY,VENT,498529.10000000003,150959.5,POINT (498529.0999999996 150959.5)
