FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
ZMOUNT,None,ZMOUNT02,ZMOUNT01,254,22054190,1789427,12CQB,E89386D7-9350-11D6-9595-0002A54212B3,LIVE,ZMOUNT02,ZMOUNT01,VENT,499674.4,149811.30000000002,POINT (499674.4000000004 149811.30000000075)
ZFRNBO,None,ZFRNBO10,ZFRNBO13,203.20000000000002,26559190,1791665,12EGH,AA585538-E087-4E4E-99B1-D6F56CE3AF00,LIVE,ZFRNBO10,ZFRNBO13,UNK,544594.7,166006.4,POINT (544594.7000000002 166006.40000000037)
ZWIMBC,None,ZWIMBC10,ZWIMBC09,127,22031751,1789517,12CST,544C1510-9353-11D6-9595-0002A54212B3,LIVE,ZWIMBC10,ZWIMBC09,VENT,523704.60000000003,171183.1,POINT (523704.5999999996 171183.09999999963)
None,None,ZHAMCO12,ZHAMCO16,152.4,21842287,1789978,12D5M,A6B52B4D-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO12,ZHAMCO16,VENT,515547.3,171738.80000000002,POINT (515547.2999999998 171738.80000000075)
ZMAIDL,None,ZMAIDL03,None,250,null,7647898,5KX6M,None,LIVE,ZWKREGCN,ZMAIDL03,VENT,530085.86202069,186445.76277592,POINT (530085.8619999997 186445.7628000006)
ZCSTWD,None,ZCSTWD02,None,254,21830098,1791638,12EFQ,B5488C4E-9357-11D6-9595-0002A54212B3,LIVE,ZCSTWD02,ZCSTWD,VENT,544276.1,175734.9,POINT (544276.0999999996 175734.90000000037)
ZMAIDL,ZMAIDL,ZMAIDL65,None,450,25909858,1790815,12DSV,4E5738CB-56F0-40CD-9252-DA44977A4D23,LIVE,ZMAIDL,ZMAIDL65,UNK,530944.5845,185973.7015,POINT (530944.5844999999 185973.70150000043)
None,None,None,None,150,null,8290080,5YPO0,None,LIVE,TF000031                      ,None,None,420162.60858013,220889.53109924,POINT (420162.6085999999 220889.53109999932)
ZFLAXL,None,ZFLAXL01,None,228.6,22030498,1789093,12CH1,4643E744-934B-11D6-9595-0002A54212B3,LIVE,ZFLAXL01,ZFLAXL,VENT,407411.5,183679.4,POINT (407411.5 183679.40000000037)
ZWOODF,None,None,None,500,26310387,1796552,12I88,142BCF30-C96F-4B31-93BE-B4D5037FC0F9,LIVE,ZWOODF,None,UNK,535070.4,189270.6,POINT (535070.4000000004 189270.59999999963)
